L;M;W;hdfs byte write inter;time(ms);accuracy;ratio-recall;ratiores;8781;hdfs byte write 1;hdfs byte write 2;hdfs byte write 3;
Colonne1;Colonne2;Colonne3;#VALEUR!;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;
1;6;4000000;24412253;205642;0.061310936;0.86;0.24606125;19241;12770906;1242151;10399196;"""-0.18"""
1;6;6000000;49412634;219406;0.09725461;0.34365547;0.77;4740;12624727;3476076;33311831;
1;6;8000000;56243192;356533;0.15211546;0.3061484;0.9150125;1862;13056251;4047245;39139696;
1;6;10000000;57390491;323310;0.23859787;0.19135258;0.934995;1392;13248896;4126250;40015345;
1;6;12000000;60244464;597243;0.26921633;0.19489706;0.97383374;604;14229466;4378652;41636346;
1;6;14000000;62363822;1252775;0.3264473;0.16163349;0.98525375;390;15758460;4469868;42135494;
1;4;10000000;62901847;920626;0.28401154;0.17826068;0.9891175;286;16096177;4494470;42311200;
1;5;10000000;61594768;744359;0.26717782;0.19699442;0.9821175;441;15154829;4431013;42008926;
1;6;10000000;57390491;323310;0.23859787;0.19135258;0.934995;1392;13248896;4126250;40015345;
1;7;10000000;56105738;259018;0.1613422;0.26969874;0.9151525;1911;12909450;4046822;39149466;
1;8;10000000;51087437;290776;0.13933998;0.25851297;0.81441873;4086;12640249;3621270;34825918;
1;9;10000000;47459399;215364;0.12101288;0.19755054;0.7361175;6046;12685693;3285390;31488316;
1;7;10000000;56105738;259018;0.1613422;0.26969874;0.9151525;1911;12909450;4046822;39149466;
2;7;10000000;78292385;399638;0.28920278;0.16865337;0.98493874;3446;27952470;8208061;42131854;
3;7;10000000;163754703;602698;0.36598814;0.123609185;0.9935312;5941;41206622;80048951;42499130;
4;7;10000000;114162621;521672;0.4265402;0.09755826;0.9957687;8781;55532587;16044534;42585500;
5;7;10000000;132738598;620836;0.4720292;0.07762694;0.997415;10157;69799612;20284782;42654204;
6;7;10000000;150661545;925971;0.54115987;0.06092739;0.9985825;11934;83620560;24347935;42693050;